template_id,org_slug,subscription_id,provider,plan_name,display_name,category,status,start_date,end_date,billing_cycle,currency,source_currency,seats,pricing_model,unit_price,yearly_price,discount_type,discount_value,auto_renew,payment_method,invoice_id_last,owner_email,department,renewal_date,contract_id,notes
tmpl_chatgpt_free,,sub_chatgpt_free,chatgpt_plus,FREE,ChatGPT Free,ai,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Basic ChatGPT access with GPT-3.5
tmpl_chatgpt_plus,,sub_chatgpt_plus,chatgpt_plus,PLUS,ChatGPT Plus,ai,active,,,monthly,USD,USD,0,FLAT_FEE,20,240,,,TRUE,,,,,,,ChatGPT Plus with GPT-4 access and priority
tmpl_chatgpt_team,,sub_chatgpt_team,chatgpt_plus,TEAM,ChatGPT Team,ai,active,,,monthly,USD,USD,0,PER_SEAT,25,300,,,TRUE,,,,,,,Team workspace with GPT-4 and collaboration features
tmpl_chatgpt_enterprise,,sub_chatgpt_enterprise,chatgpt_plus,ENTERPRISE,ChatGPT Enterprise,ai,active,,,annual,USD,USD,0,PER_SEAT,60,720,,,TRUE,,,,,,,Enterprise features with unlimited usage and SSO
tmpl_claude_free,,sub_claude_free,claude_pro,FREE,Claude Free,ai,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Free tier with Claude Sonnet access
tmpl_claude_pro,,sub_claude_pro,claude_pro,PRO,Claude Pro,ai,active,,,monthly,USD,USD,0,FLAT_FEE,20,240,,,TRUE,,,,,,,Claude Pro with priority access to all models
tmpl_claude_team,,sub_claude_team,claude_pro,TEAM,Claude Team,ai,active,,,monthly,USD,USD,0,PER_SEAT,25,300,,,TRUE,,,,,,,Team workspace with usage controls and collaboration
tmpl_claude_enterprise,,sub_claude_enterprise,claude_pro,ENTERPRISE,Claude Enterprise,ai,active,,,annual,USD,USD,0,PER_SEAT,60,720,,,TRUE,,,,,,,Enterprise deployment with dedicated support
tmpl_canva_free,,sub_canva_free,canva,FREE,Canva Free,design,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Basic design tools with limited templates
tmpl_canva_pro,,sub_canva_pro,canva,PRO,Canva Pro,design,active,,,monthly,USD,USD,0,FLAT_FEE,12.99,155.88,,,TRUE,,,,,,,Pro features with premium templates and brand kit
tmpl_canva_pro_annual,,sub_canva_pro_annual,canva,PRO,Canva Pro Annual,design,active,,,annual,USD,USD,0,FLAT_FEE,119.99,119.99,percent,17,TRUE,,,,,,,Annual billing with 17% discount
tmpl_canva_team,,sub_canva_team,canva,TEAM,Canva for Teams,design,active,,,monthly,USD,USD,0,PER_SEAT,14.99,179.88,,,TRUE,,,,,,,Team collaboration with shared brand assets
tmpl_slack_free,,sub_slack_free,slack,FREE,Slack Free,communication,active,,,monthly,USD,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Free tier with 90-day message history
