org_slug,subscription_id,provider,plan_name,display_name,category,status,start_date,end_date,billing_cycle,currency,seats,pricing_model,unit_price,yearly_price,discount_type,discount_value,auto_renew,payment_method,invoice_id_last,owner_email,department,renewal_date,contract_id,notes
,sub_chatgpt_free,chatgpt_plus,FREE,ChatGPT Free,ai,active,,,monthly,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Basic ChatGPT access with GPT-3.5
,sub_chatgpt_plus,chatgpt_plus,PLUS,ChatGPT Plus,ai,active,,,monthly,USD,0,FLAT_FEE,20,240,,,TRUE,,,,,,,ChatGPT Plus with GPT-4 access and priority
,sub_chatgpt_team,chatgpt_plus,TEAM,ChatGPT Team,ai,active,,,monthly,USD,0,PER_SEAT,25,300,,,TRUE,,,,,,,Team workspace with GPT-4 and collaboration features
,sub_chatgpt_enterprise,chatgpt_plus,ENTERPRISE,ChatGPT Enterprise,ai,active,,,annual,USD,0,PER_SEAT,60,720,,,TRUE,,,,,,,Enterprise features with unlimited usage and SSO
,sub_claude_free,claude_pro,FREE,Claude Free,ai,active,,,monthly,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Free tier with Claude Sonnet access
,sub_claude_pro,claude_pro,PRO,Claude Pro,ai,active,,,monthly,USD,0,FLAT_FEE,20,240,,,TRUE,,,,,,,Claude Pro with priority access to all models
,sub_claude_team,claude_pro,TEAM,Claude Team,ai,active,,,monthly,USD,0,PER_SEAT,25,300,,,TRUE,,,,,,,Team workspace with usage controls and collaboration
,sub_claude_enterprise,claude_pro,ENTERPRISE,Claude Enterprise,ai,active,,,annual,USD,0,PER_SEAT,60,720,,,TRUE,,,,,,,Enterprise deployment with dedicated support
,sub_canva_free,canva,FREE,Canva Free,design,active,,,monthly,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Basic design tools with limited templates
,sub_canva_pro,canva,PRO,Canva Pro,design,active,,,monthly,USD,0,FLAT_FEE,12.99,155.88,,,TRUE,,,,,,,Pro features with premium templates and brand kit
,sub_canva_pro_annual,canva,PRO,Canva Pro Annual,design,active,,,annual,USD,0,FLAT_FEE,119.99,119.99,percent,17,TRUE,,,,,,,Annual billing with 17% discount
,sub_canva_team,canva,TEAM,Canva for Teams,design,active,,,monthly,USD,0,PER_SEAT,14.99,179.88,,,TRUE,,,,,,,Team collaboration with shared brand assets
,sub_slack_free,slack,FREE,Slack Free,communication,active,,,monthly,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Free tier with 90-day message history
,sub_slack_pro,slack,PRO,Slack Pro,communication,active,,,monthly,USD,0,PER_SEAT,8.75,105,,,TRUE,,,,,,,Unlimited message history and apps
,sub_slack_business,slack,BUSINESS_PLUS,Slack Business+,communication,active,,,monthly,USD,0,PER_SEAT,15,180,,,TRUE,,,,,,,Advanced admin and compliance features
,sub_slack_enterprise,slack,ENTERPRISE_GRID,Slack Enterprise Grid,communication,active,,,annual,USD,0,PER_SEAT,20,240,,,TRUE,,,,,,,Enterprise-grade security and unlimited workspaces
,sub_figma_free,figma,FREE,Figma Free,design,active,,,monthly,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Starter plan with 3 Figma and FigJam files
,sub_figma_pro,figma,PROFESSIONAL,Figma Professional,design,active,,,monthly,USD,0,PER_SEAT,15,180,,,TRUE,,,,,,,Unlimited Figma files and version history
,sub_figma_org,figma,ORGANIZATION,Figma Organization,design,active,,,monthly,USD,0,PER_SEAT,45,540,,,TRUE,,,,,,,Organization-wide design system and libraries
,sub_figma_enterprise,figma,ENTERPRISE,Figma Enterprise,design,active,,,annual,USD,0,PER_SEAT,75,900,,,TRUE,,,,,,,Enterprise security and dedicated support
,sub_notion_free,notion,FREE,Notion Free,productivity,active,,,monthly,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Personal workspace with unlimited blocks
,sub_notion_plus,notion,PLUS,Notion Plus,productivity,active,,,monthly,USD,0,PER_SEAT,10,120,,,TRUE,,,,,,,Unlimited file uploads and 30-day version history
,sub_notion_business,notion,BUSINESS,Notion Business,productivity,active,,,monthly,USD,0,PER_SEAT,18,216,,,TRUE,,,,,,,Advanced permissions and SAML SSO
,sub_notion_enterprise,notion,ENTERPRISE,Notion Enterprise,productivity,active,,,annual,USD,0,PER_SEAT,25,300,,,TRUE,,,,,,,Enterprise analytics and dedicated support
,sub_github_free,github,FREE,GitHub Free,developer_tools,active,,,monthly,USD,0,FLAT_FEE,0,0,,,TRUE,,,,,,,Unlimited public and private repositories
