issue_id,severity,category,section,feature,description,impact,root_cause,resolution,resolved_by,resolved_date,status,test_verified,production_verified,notes
ISS-001,CRITICAL,Security,API,Alerts,quota_usage query missing org_slug filter,Cross-org data leakage,Missing WHERE clause,Added WHERE org_slug = @org_slug,Claude,2026-01-28,FIXED,YES,PENDING,Multi-tenancy bug
ISS-002,HIGH,Bug,Engine,Alerts,org_filter param not recognized in query_executor,Org-specific evaluation fails,Wrong parameter name,Changed to org_slugs=[org_slug],Claude,2026-01-28,FIXED,YES,PENDING,Parameter mismatch
ISS-003,MEDIUM,Security,Router,Alerts,Missing defensive org validation in cost_alerts router,Defense-in-depth gap,No explicit check,Added if alert.org_slug != org_slug check,Claude,2026-01-28,FIXED,YES,PENDING,Defense in depth
ISS-004,HIGH,Bug,Schema,Subscription,subscription_plan_costs_daily missing org_slug column,Pipeline fails: procedure inserts to non-existent column,Schema-procedure mismatch,Added org_slug column to schema + updated table,Claude,2026-01-28,FIXED,YES,PENDING,Schema sync needed on prod
ISS-005,CRITICAL,Bug,Auth,API Keys,API key mismatch between Supabase and BigQuery,Cost Analytics auth failure - shows error,Re-sync path regenerated new keys instead of returning existing,Modified fast path to return existing active key instead of regenerating,Claude,2026-01-28,FIXED,YES,PENDING,organizations.py:1084-1130 - check for existing key before generating new
ISS-006,MEDIUM,Bug,UI,Members,Team Members page shows Unknown for owner,Owner displays as ? avatar with Unknown name,profiles.full_name is NULL + fallback to Unknown,Improved fallback: email username > email > Team Member,Claude,2026-01-28,FIXED,YES,PENDING,invite/page.tsx:524-530
ISS-007,MEDIUM,Bug,Config,Pipeline,GenAI consolidate pipeline procedure.name required error,GenAI pipeline fails to run,Config uses flat procedure_name instead of nested procedure.name,Changed to nested procedure config structure,Claude,2026-01-28,FIXED,YES,PENDING,consolidate.yml - all 3 steps
ISS-008,MEDIUM,Bug,Config,Pipeline,GCP focus_convert uses wrong template syntax,Invalid date format error,Config used {date} instead of ${date},Changed to ${start_date} and ${end_date},Claude,2026-01-28,FIXED,YES,PENDING,gcp/cost/focus_convert.yml
ISS-009,LOW,Missing,Config,Pipeline,Azure focus_convert.yml missing,404 when calling Azure FOCUS convert standalone,File never created,Created focus_convert.yml based on AWS/OCI pattern,Claude,2026-01-28,FIXED,YES,PENDING,azure/cost/focus_convert.yml
ISS-010,HIGH,Bug,Data,GenAI,GenAI raw data schema mismatch,GenAI consolidate procedure fails,Demo data uses 'provider' column but procedure expects 'x_genai_provider',Added x_genai_provider x_ingestion_id x_ingestion_date columns to commitment/infrastructure tables,Claude,2026-01-28,FIXED,YES,PENDING,Also need usage_date populated for all raw tables
ISS-011,HIGH,Bug,Procedure,Cloud,sp_cloud_1_convert_to_focus has undefined variable,Cloud FOCUS convert fails,Procedure references v_effective_end_date but variable not declared,Fixed EXCEPTION handler to use COALESCE(p_end_date p_start_date),Claude,2026-01-28,FIXED,YES,PENDING,sp_cloud_1_convert_to_focus.sql:938
ISS-012,HIGH,Bug,Schema,Cloud,Cloud raw tables missing pricing columns,Cloud FOCUS convert fails,Demo data doesn't include price_list_price price_effective_price etc,Added missing columns via ALTER TABLE to all cloud raw tables,Claude,2026-01-28,FIXED,YES,PENDING,GCP AWS Azure OCI tables all fixed
ISS-013,MEDIUM,Bug,Schema,Cloud,AWS/Azure missing usage_date column,FOCUS conversion filters fail,Procedure filters by usage_date but column was NULL,Populated usage_date from usage_start_time via UPDATE,Claude,2026-01-28,FIXED,YES,PENDING,Required for all cloud raw tables
ISS-014,MEDIUM,Bug,Data,GenAI,GenAI pricing tables empty,Costs consolidation fails,Demo data load script didn't include pricing data,Loaded 31 pricing records from existing CSV via JSONL transform,Claude,2026-01-28,FIXED,YES,PENDING,genai_payg_pricing - source: 04-inra-cicd-automation/load-demo-data/data/pricing/genai_payg_pricing.csv
ISS-015,MEDIUM,Bug,Schema,GenAI,genai_commitment_costs_daily missing x_genai_provider,Consolidation procedure fails,Schema missing column,Added x_genai_provider column via ALTER TABLE,Claude,2026-01-28,FIXED,YES,PENDING,Also added to genai_infrastructure_costs_daily
