subscription_id,provider,plan_name,is_custom,quantity,unit_price_usd,effective_date,end_date,is_enabled,auth_type,notes,x_gemini_project_id,x_gemini_region,x_anthropic_workspace_id,x_openai_org_id,tier_type,trial_end_date,trial_credit_usd,monthly_token_limit,daily_token_limit,rpm_limit,tpm_limit,rpd_limit,tpd_limit,concurrent_limit,committed_spend_usd,commitment_term_months,discount_percentage,billing_period,yearly_price_usd,yearly_discount_percentage
sub_openai_free,openai,FREE,false,1,0.00,2024-11-01,,true,api_key,Free tier with rate limits,,,,free,,0,,,3,40000,200,,,,,,,pay_as_you_go,,
sub_openai_tier1,openai,TIER1,false,1,0.00,2024-11-01,,true,api_key,Tier 1 - 500 RPM after $5 spend,,,,paid,,0,,,500,30000,10000,,,,,,,pay_as_you_go,,
sub_openai_tier2,openai,TIER2,false,1,0.00,2024-11-01,,true,api_key,Tier 2 - 5000 RPM after $50 spend,,,,paid,,0,,,5000,450000,,,,,,,,pay_as_you_go,,
sub_openai_tier3,openai,TIER3,false,1,0.00,2024-11-01,,true,api_key,Tier 3 - 10000 RPM after $100 spend,,,,paid,,0,,,10000,800000,,,,,,,,pay_as_you_go,,
sub_openai_tier4,openai,TIER4,false,1,0.00,2024-11-01,,true,api_key,Tier 4 - 10000 RPM after $250 spend,,,,paid,,0,,,10000,2000000,,,,,,,,pay_as_you_go,,
sub_openai_tier5,openai,TIER5,false,1,0.00,2024-11-01,,true,api_key,Tier 5 - 10000 RPM after $1000 spend,,,,enterprise,,0,,,10000,10000000,,,,,,,,pay_as_you_go,,
sub_anthropic_free,anthropic,FREE,false,1,0.00,2024-11-01,,true,api_key,Free tier with $5 trial credit,,,,trial,,5,,,5,20000,1000,100000,,,,,,pay_as_you_go,,
sub_anthropic_build_t1,anthropic,BUILD_TIER1,false,1,0.00,2024-11-01,,true,api_key,Tier 1 - Pay-as-you-go,,,,paid,,0,,,50,40000,,,2000000,,,,,,pay_as_you_go,,
sub_anthropic_build_t2,anthropic,BUILD_TIER2,false,1,0.00,2024-11-01,,true,api_key,Tier 2 - After $40 spend,,,,paid,,0,,,100,80000,,,4000000,,,,,,pay_as_you_go,,
sub_anthropic_build_t3,anthropic,BUILD_TIER3,false,1,0.00,2024-11-01,,true,api_key,Tier 3 - After $200 spend,,,,paid,,0,,,200,160000,,,8000000,,,,,,pay_as_you_go,,
sub_anthropic_build_t4,anthropic,BUILD_TIER4,false,1,0.00,2024-11-01,,true,api_key,Tier 4 - After $400 spend,,,,paid,,0,,,400,400000,,,20000000,,,,,,pay_as_you_go,,
sub_anthropic_scale,anthropic,SCALE,false,1,0.00,2024-11-01,,true,api_key,Scale - Higher limits and priority,,,,enterprise,,0,,,1000,800000,,,80000000,,,,,,pay_as_you_go,,
sub_gemini_free,gemini,FREE,false,1,0.00,2024-11-01,,true,api_key,Free tier - 15 RPM,,,,free,,0,,1500000,15,1000000,1500,1500000,,,,,,pay_as_you_go,,
sub_gemini_paygo,gemini,PAY_AS_YOU_GO,false,1,0.00,2024-11-01,,true,service_account,Pay-as-you-go via GCP - 360 RPM,,,,paid,,300,,,360,4000000,,4000000000,,,,,,pay_as_you_go,,
sub_gemini_enterprise,gemini,ENTERPRISE,false,1,0.00,2024-11-01,,true,service_account,Custom enterprise via GCP,,,,enterprise,,0,,,,,,,,,,,pay_as_you_go,,
